proper names,WGSN-id,Designation,HIP,Bayer ID,Simbad spelling,Constellation,Origin,Ethnic-Cultural_Group_or_Language,Reference,Date of Adoption 
Prima Hyadum,1380,HR 1346,20205,? Tau,Prima Hyadum,Tau,"the Latin term occurs first in Flamsteed (1729) but is based on the Arabic idea to enumerate the stars in the cluster; in Arabic it was Awwal ad-Dabar?n, The First of Dabar?n (the group from which the star name ""Aldebaran"" derives).",Latin,"Allen (1899, 390)",9/5/2017
Salm,8843,HR 8880,115250,? Peg,Salm,Peg,"Bayer (1603) mentions three names: Markab, Sagma and its corruption Salma. Allen (1899, 329) considers the correct form ""Salm"", a Leathern Bucket.",Arabic,"Allen (1899, 329)",9/5/2017
Secunda Hyadum,1406,HR 1373,20455,?1 Tau,Secunda Hyadum,Tau,The Latin term Hyadum II goes back to Flamsteed (1729) in analogy to Hyadum I or Prima Hyadum,Latin,"Allen (1899, 391)",9/5/2017
Segin,589,HR 0542,8886,? Cas,Segin,Cas,"Name of unknown etymology from the ""Atlas Coeli Skalnaté Pleso"" of Czech astronomer Antonín Be?vá? (1901-1965).",unknown,"Be?vá?, A. (1948) Atlas coeli Skalnaté Pleso. Praha: P?írodov?cké Vydavatelství",9/5/2017
Tabit,1572,HR 1543,22449,?3 Ori,Tabit,Ori,Arabic ?????? al-th?bit 'the endurer (the fixed/constant one)',Arabic,--,9/5/2017
Terebellum,7595,HR 7597,98066,? Sgr,Terebellum,Sgr,"Ptolemy's Almagest lists four stars in a quadrilateral with ? Sgr the first in the list (the others being A, b, c Sgr). Bayer (1603) concludes this list with the note after ""c"": Has quatuor multi Terebellum seu ???????????? vocant. A ""terebellum"" is an auger, so it designates the asterism at the tip of the tail and originally not a specific star.",Latin,Bayer (1603),9/5/2017
Tiaki,8621,HR 8636,112122,? Gru,Tiaki,Gru,"Makemson (1941: 261 #659) lists Tiaki as the Tuamotuan name for ? Gru, sourcing this to unpublished field data supplied by Kenneth P. Emory (ibid.: 197). However, Emory's star information does not appear in his later publications and has not been located to date in archives of his unpublished material. Stimson's Tuamotuan dictionary (1964: 526) gives the meaning of T?aki as ""guardian"", ""keeper"" or ""watchman"", but does not list it as a star. He does, however, list T?akitau as the name of an unidentified star on Anaa, which Makemson (1941: 261 #660) lists separately.",Polynesian/Tuamotu,"Makemson, Maud W. (1941). The Morning Star Rises: an Account of Polynesian Astronomy. New Haven: Yale University Press. Stimson, J. Frank, with the collaboration of Donald S. Marshall (1964). A Dictionary of Some Tuamotuan Dialects of the Polynesian Language. Published by the Peabody Museum of Salem Massachusetts and Het Koninklijk Instituut voor Taal-, Land- en Volkenkunde. The Hague: Martinus Nijhoff.",9/5/2017
Torcular,545,HR 510,8198,? Psc,Torcular,Psc,The traditional name Torcularis septentrionalis (northern wine press) was taken from the 1515 Almagest (Latin translation) and abbreviated.,Latin,--,9/5/2017
Xamidimura,6279,HR 6247,82514,?1 Sco,Xamidimura,Sco,"Originally spelled as three word ""xami di mura"" means ""eyes of the beast"" in the Khoekhoe language (South Africa). The term designates two stars which is why it was suggested (Hahn 1881) to refer to ? Sco as this star appears as a visual pair of two dots of light. Yet, today's identification popularized by the SAAO differs.",Khoekhoe,--,9/5/2017
Zubenelhakrabi,5799,HR 5787,76333,? Lib,Zubenelhakrabi,Lib,"Allen (1899) claims that this term was used for ? Lib while “properly belonging to ? Scorpii”. He gives the name “Zub?n al?Akrab, the Scropion’s Claw,” with the spelling variants Zuban al Kravi, Zuben Acrabi, Zuben Hakrabi where the last one goes back to Bayer’s Uranometria (1603). Yet, Bayer’s ? Scorpii is now ? Lib (Brachium) and Bayer’s ? Lib was named “in media lance Boreali prima et superior”.",Arabic,"Allen (1899), p. 277,369, and Bayer (1603) on Libra and on Scorpius",9/5/2017
Alsafi,7423,HR 7462,96100,? Dra,Alsafi,Dra,"Alsafi is corrupted from Ath?fi, erroneously transcribed from the Arabic plural Ath?fiyy, by which the nomads designated the tripods of their open-air kitchens; one of these being imagined in ?, ? and ? [Dra].",Arabic,"Allen (1899, 212)",6/30/2017
Alsciaukat,3277,HR 3275,41075,31 Lyn,Alsciaukat,Lyn,"misspelled Arabic ?????? aš-šawkat (al-shaukat), The Thorn. The name obviously has nothing to do with the figure of the lynx (or historically sometimes called ""Tiger"" or ""Tigris"") that was invented in Early Modern Times.",Arabic,--,6/30/2017
Alshat,7768,HR 7773,100310,? Cap,Alshat,Cap,"The Arabic term ??? ??????, Sa?d al-Dh?bi?, The Lucky Asterism of the Slaughterer (22 lunar station), consists of the 3 stars: ?1, ? and ? Cap. As ? and ? already have proper names, the corrupted form ""shat"" (for sad) was used to name ? Cap.",Arabic,--,6/30/2017
Alzirr,2487,HR 2484,32362,? Gem,Alzirr,Gem,"Arabic ?????? , al-zirr, ""the button"". Allen (1899) attributes the name to Al Bir?n? and it certainly does not have Greek roots as it is located at the foot of the eastern Twin.",Arabic,"Allen (1899, 237)",6/30/2017
Angetenar,883,HR 850,13288,?2 Eri,Angetenar,Eri,"derived from the Arabic Al ?in?yat an-Nahr, 'the Bend in the River', based on Arabic Almagest translations",Arabic,--,6/30/2017
Anser,7396,HR 7405,95771,? Vul,Anser,Vul,"Johannes & Elisabetha Hevelius created “Vulpecula cum Ansere” (the Little Fox with the Goose) out of unformed stars in the space between Cygnus and Aquila. The constellation first appeared in Firmamentum Sobiescianum sive Uranographia (1687) and the accompanying introductory text, Prodromus astronomiae (1690). To emphasize that it was his own creation, Hevelius dedicated Figure L to the pair, shown as a detail in Fig. 3.1. In atlases published before Hevelius, its stars are shown simply marking the flow of the Milky Way through the area. Ian Ridpath (1989) noted that “Hevelius placed the fox near two other hunting animals, the eagle (the constellation Aquila) and the vulture (which was an alternative identification for Lyra). He explained that the fox was taking the goose to neighbouring Cerberus, another of his inventions.”unnamed before.",Latin,Firmamentum Sobiescianum sive Uranographia (1687),6/30/2017
Beemim,1416,HR 1393,20535,?3 Eri,Beemim,Eri,"Spelling variations of this name appeared in medieval sources for star 29 in Eridanus in the Almagest (Upsilon3 Eri), with the Alfonsine Tables (1492, Tabule Astronomice Alfonsi Regis) spelling it as ""Beemim"".",corrupted,"Ptolemaeus. (1515). Almagest? Cl[audii] Ptolemei Pheludiensis Alexandrini Astronomo[rum] principis : opus ingens ac nobile omnes celor? motus continens ... Liechtenstein, Petrus.",6/30/2017
Bharani,409,HR 838,13209,41  Ari,Bharani,Ari,"the Indian term (Sanscrit: ????), The Bearer, designates the 2nd of the 27 nakshatras consisting of the three stars 35, 39 and 41 Ari, among which 41 Ari is the brightest. The modern star name was given to the brightest star of the historical constellation.",Indian,Saha & Lahiri (1955),6/30/2017
Fang,5955,HR 5944,78265,? Sco,Fang,Sco,determinitive star of lunar mansion Fang (The Room) whose naming constellation constists of 4 stars according to sources back to the 3rd millennium BCE.,Chinese,Lunar Mansion,6/30/2017
Fulu,190,HR 153,2920,? Cas,Fulu,Cas,"traditional Chinese single star asterism: an auxiliary road to Gedao; also represents the chief assistant to maintain roads. Gedao (the flying corridor) is a long chain of stars next to the Purple Palace enclosure constellation. Paradoxically, the auxiliary road is considered a single star asterism as attested in several historical star charts (e.g. the famous Suzhou map). Sun and Kistemaker (1997) who studied sources from the Han dynasty (around the year ""0"" plusminus 200 years) identify ? Cas with this single star. Another researcher, Sun Shuwei, who dealt with the Xinyixiangfayao Star Map from Su Song (??, 1020-1101 CE) identifies ? Cas. Both is plausible.",Chinese,Shi shi xingjing (Star Catalogue of the Shi Shi),6/30/2017
Fuyue,6680,HR 6630,87261,G Sco,Fuyue,Sco,"traditional Chinese single star asterism: a legendary wise minister of the Yin or Shang dynasty, 18th century BCE. According to Rufus and Tien (1945), sometimes called the invocator (regarding faults). Sun and Kistemaker (1997) quote Sima Qian that Fu Yue was a chancellor of Emperor Wu Ding of the Yin dynasty but they admit that the could also represent a shaman in the royal harem helping to produce sons. The ancient star name is typically identified with the bright star G Sco.",Chinese,Shi shi xingjing (Star Catalogue of the Shi Shi),6/30/2017
Haedus,1681,HR 1641,23767,? Aur,Haedus,Aur,"The Almagest star catalogue gives for n Aur: ??? ??? ??? ????????? ?????? ? ????v????? ?????v ? ???????? (The rearmost of the two stars on the left wrist, which are called 'Haedi'). The Latin term ""Haedi"" is a translation of Greek ?????v and plural of ""Haedus"" meaning ""young goat(s)"".",Latin,"Almagest (e.g. translated by Toomer 1984, page 353, edition by Heiberg II, 66)",6/30/2017
Hassaleh,1620,HR 1577,23015,? Aur,Hassaleh,Aur,"hasa means in Arabic - handsome or good or benefactor, hassa (with doubled s) is from the same Arabic root, has long vowel (second a) and its meaning is ""doer of good"" or ""benefactor"", the end of name ""-eh"" (or ""-ah"") could mean femininum. Name from the ""Atlas Coeli Skalnaté Pleso"" of Czech astronomer Antonín Be?vá? (1901-1965).",Arabic,"Be?vá?, A. (1948) Atlas coeli Skalnaté Pleso. Praha: P?írodov?cké Vydavatelství",6/30/2017
Jabbah,6040,HR 6027,79374,? Sco,Jabbah,Sco,"the name was considered popular by WGSN as mentioned in Allen (1899): ""in the Century Cyclopaedia, perhaps from its being one of the mansil Iklil al Jabbah.""",Arabic,"Allen (1899, 371)",6/30/2017
Kang,5313,HR 5315,69427,? Vir,Kang,Vir,determinitive star of lunar mansion Kang (The Neck) whose naming constellation constists of 4 stars according to sources back to the 3rd millennium BCE,Chinese,Lunar Mansion,6/30/2017
Mahasim,2115,HR 2095,28380,? Aur,Mahasim,Aur,"Arabic ????????? al-mi??am ""the wrist"", was used for ? Her by Bayer by misreading the Almagest (and its 1515 Latin translation) where the wrist is designated o Her. Allen 1899, 245 mentions that the 16th century Latin Almagest translation used the (misspelled) variant “Mahasim” for ? and ? Aurigae.",Arabic,"Allen (1899, 245)",6/30/2017
Markab,8753,HR 8781,113963,? Peg,Markab,Peg,"From an abbreviation of the name for the Arabic Almagest period mankib al-faras, ""the Horse's Shoulder,"" for ? Peg. Wrongly transferred to ? Peg in late medieval times.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",6/30/2017
Minelauva,4917,HR 4910,63090,? Vir,Minelauva,Vir,"The 13th Arabic lunar station bears the name ?????) Al-?Aww?, The bend. It consists of 5 stars: ?, ?, ?, ? and ? Vir. ""Auva"" or ""Minelauva"" are mediaeval transliterations of this name that now names one of its stars.",Arabic,--,6/30/2017
Praecipua,4235,HR 4247,53229,46 LMi,Praecipua,LMi,"Piazzi (1814) in his star catalogue introduced this proper name for the star because Hevelius (1690) had added the adjective ""praecipua"" (Chief) as a description of this star.",Latin,--,6/30/2017
Revati,387,HR 361,5737,? Psc,Revati,Psc,"Revat? is a Hindu mother goddess, in Sanskrit written ?????. It is also the name of the 27th nakshatra and specifically the star ? Psc. The Sun passing this star designates the beginning of a new (solar) year.",Indian,Saha&Lahiri (1955),6/30/2017
Saclateni,1651,HR 1612,23453,? Aur,Saclateni,Aur,"Eta and Zeta Aurigae, the 8th and 9th stars of Auriga in the Almagest, were referred to as ""the kids"" - Eriphoi (Greek), Haedi (Latin), al-Jadayain (Arabic; al-Sufi). Hyginus (Poetica Astronomica, 2. 13) mentions the Greek astronomer Cleostratus of Tenedos (5th cen. BC) pointed out ""the kids"" among the stars. ""Saclateni"" appeared in the Alfonsine Tables (""Tabule astronomice Alfonsi Regis"", 1492 print) and may be a corrupted Latinization of the Arabic Gadi-thani, ""second kid"" (Mesnard 1949, ""Les noms arabes d'étoiles"", Ciel et Terre, Vol. 65, p. 70)",Latin,"Ptolemaeus. (1515). Almagest? Cl[audii] Ptolemei Pheludiensis Alexandrini Astronomo[rum] principis : opus ingens ac nobile omnes celor? motus continens ... Liechtenstein, Petrus.",6/30/2017
Sceptrum,1513,HR 1481,21594,53 Eri,Sceptrum,Eri,from the obsolete constellation of Sceptrum Brandenburgicum,Latin,Acta Eruditorum (1688) p.452,6/30/2017
Taiyangshou,4521,HR 4518,57399,? UMa,Taiyangshou,UMa,"traditional Chinese single star asterism: Taiyangshou means ""The Guardian of the Great Yang"" and is the general in charge of the yang valve, symbolising Chief Minister. Xu, Pankenier and Jiang (2000) and Sun Shuwei (Stellarium) evaluating the medieval Song map, both identify chi UMa but Sun and Kistemaker (1997) studying the Han dynasty identify psi UMa.",Chinese,"Rufus+Tien (1945) on the Suzhou Map, Sun and Kistemaker (1997) evaluating Han sources, Sun Shuwei (2022) on the Su Song Map",6/30/2017
Taiyi,4916,HR 4916,63076,8 Dra,Taiyi,Dra,"single star asterism: August Unity, Supreme One",Chinese,"Rufus+Tien (1945) on the Suzhou Map, Sun and Kistemaker (1997) evaluating Han sources, Sun Shuwei (2022) on the Su Song Map",6/30/2017
Tianguan,1949,HR 1910,26451,? Tau,Tianguan,Tau,"Chinese single star asterism, a celestial pass along the ecliptic which opens and closes",Chinese,"Rufus+Tien (1945) on the Suzhou Map, Sun and Kistemaker (1997) evaluating Han sources, Sun Shuwei (2022) on the Su Song Map",6/30/2017
Tianyi,4867,HR 4863,62423,7 Dra,Tianyi,Dra,Chinese single star asterism: heavenly unity,Chinese,"Rufus+Tien (1945) on the Suzhou Map, Sun and Kistemaker (1997) evaluating Han sources, Sun Shuwei (2022) on the Su Song Map",6/30/2017
Xuange,5336,HR 5351,69732,? Boo,Xuange,Boo,"single star asterism: a halberd, the celestial lance or north lance.",Chinese,"Rufus+Tien (1945) on the Suzhou Map, Sun and Kistemaker (1997) evaluating Han sources, Sun Shuwei (2022) on the Su Song Map",6/30/2017
Zhang,3878,HR 3903,48356,?1 Hya,Zhang,Hya,"determinitive star of lunar mansion Zhang (The Stomach [of the Red Fire Bird] or a Bow or Bird Catcher, an Extended Net, Spread or ""to open"") whose naming constellation constists of 6 stars according to sources back to the 3rd millennium BCE",Chinese,Lunar Mansion,6/30/2017
Almaaz,1647,HR 1605,23416,? Aur,Almaaz,Aur,"The Arabic term ????? (al-ma?az) can refer to the plural ""goats"" but has also been interpreted as a He-Goat (contrasting Capella, the She-Goat). Allen (1899, 90) cites Hyde's 1665 translation of Ulugh Beg with this term for a group of stars (asterism or sub-constellation) in Auriga.",Arabic,"Allen (1899, 90)",2/1/2017
Alniyat,6103,HR 6084,80112,? Sco,Alniyat,Sco,"Applied in recent times from the pre-Islamic Arabian name al-niyat, ""the Arteries"", for ? and ? Sco. ? Sco, between the arteries, was the pre-Islamic Arabian qalb al'aqrab, ""the Scorpion's Heart"" (all were part of the pre-Islamic Arabian Scorpion).",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",2/1/2017
Alrakis,6352,* mu. Dra,83608,? Dra,Alrakis,Dra,"Applied in recent times from its pre-Islamic Arabian name al-raqis, ""the Trotting Camel.""",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",2/1/2017
